酒蔵,ブランド,商品名,メイン表採否,除外理由,ブランド史,個別商品の歴史,根拠区分,根拠URL,公開ページ日,ページ更新日,根拠抜粋,調査日
柄酒造,於多福,於多福 純米,収録,,1848（嘉永元）年の創業時から続く柄酒造の銘柄。1907年の第1回全国清酒品評会で優等一位を受賞し、安芸津の地酒として受け継がれてきた。広島県酒造組合の紹介では、創業家の船「於多福丸」と「米を福ととらえる思い」が名の背景とされる。,2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 八反錦、精米歩合 60％の設計で展開されている。,現行商品位置づけ,https://www.tsukasyuzou.jp/products/於多福-純米-1800ml,,,於多福 純米の一升瓶（1800ml）。米の旨味がギュッと詰まった辛口の純米酒。元々日本酒が好きでよく飲むという方に選ばれる傾向がある、日本酒らしい日本酒です。冷でも燗でも楽しめます。 2023年5月よりラベルが刷新されています。 於多福 純米の一升瓶（1800ml）。米の旨味がギュッと詰まった辛口の純米酒。元々日本酒が好きでよく飲むという方に選ばれる傾向がある、日本酒らしい日本酒です。冷でも燗でも楽しめます。 2023年5月よりラベルが刷新されています。,2026-09-06
柄酒造,於多福,於多福 純米吟醸,収録,,1848（嘉永元）年の創業時から続く柄酒造の銘柄。1907年の第1回全国清酒品評会で優等一位を受賞し、安芸津の地酒として受け継がれてきた。広島県酒造組合の紹介では、創業家の船「於多福丸」と「米を福ととらえる思い」が名の背景とされる。,2026-09-06時点で公式商品ページに現行品として掲載され、純米吟醸、使用米 八反錦、精米歩合 60％の設計で展開されている。,現行商品位置づけ,https://www.tsukasyuzou.jp/products/於多福-純米吟醸-1800ml,,,於多福 純米吟醸の一升瓶(1800ml)。穏やかな香りと味わいの調和が取れた純米吟醸です。 幅広い料理に合うため、食中酒として用いられることが多いすっきり辛口の酒。冷やしても常温でも楽しめます。 「関西一 純米吟醸 1800ml」という名称で親しまれてきましたが、2023年5月よりブランド名を「於多福」に統一することとなりました。また、同じく2023年5月よりラベルが刷新されています。 於多福 純米吟醸の一升瓶(1800ml)。穏やかな香りと味わいの調和が取れた純米吟醸です。,2026-09-06
白牡丹酒造,白牡丹,Paeon(ピオン),収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,しぼりたてのフレッシュさを食卓へ届ける新しい白牡丹のシリーズとして開発された商品。千本錦と広島令和一号酵母を使い、2026年「ワイングラスでおいしい日本酒アワード」プレミアム純米部門で最高金賞を受賞した。,個別沿革確認,https://www.hakubotan.co.jp/products/%E3%80%90%E6%97%A5%E6%9C%AC%E9%85%92-%E7%99%BD%E7%89%A1%E4%B8%B9%E3%80%91paeon%E3%83%94%E3%82%AA%E3%83%B3%E3%80%90%E6%96%B0%E3%80%91/,,2026-05-29T05:12:07+00:00,〜しぼりたてのフレッシュなお酒で食卓に小さな幸せを〜をコンセプトに醸した新たな白牡丹のお酒です｡酸味のあるシャープな味わいの酒を搾ったすぐの状態で瓶詰めしました｡ 〜しぼりたてのフレッシュなお酒で食卓に小さな幸せを〜をコンセプトに醸した新たな白牡丹のお酒です｡酸味のあるシャープな味わいの酒を搾ったすぐの状態で瓶詰めしました｡,2026-09-06
白牡丹酒造,白牡丹,さらりとうまくち,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、使用米 国産米100％、精米歩合 70％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%95%e3%82%89%e3%82%8a%e3%81%a8%e3%81%86%e3%81%be%e3%81%8f%e3%81%a1-720ml%e3%83%91%e3%83%83%e3%82%af%e8%a9%b0/,,2026-05-29T05:37:31+00:00,麹からうまれるふくらみのあるうま味と酵母の醸し出したさらりとした味わい｡ 冷やしてよし。,2026-09-06
白牡丹酒造,白牡丹,すっきり旨口,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、使用米 国産米100％、精米歩合 75％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%99%e3%81%a3%e3%81%8d%e3%82%8a%e6%97%a8%e5%8f%a3-2l%e3%83%91%e3%83%83%e3%82%af%e8%a9%b0/,,2026-05-29T05:38:24+00:00,日本酒の伝統的な「造り」を守りながらも、新しい発想の酒質設計とすることにより、やわらかな口当たりと巾のある旨さ味わいの両立を実現しています。 日本酒の伝統的な「造り」を守りながらも、新しい発想の酒質設計とすることにより、やわらかな口当たりと巾のある旨さ味わいの両立を実現しています。,2026-09-06
白牡丹酒造,白牡丹,ひろしま一途な純米酒 紅甘萬(べにかんまん),収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,広島の原料と地域性を前面に出した「ひろしま一途」系の商品として、2026年6月4日に出荷を開始した夏の新商品。現行の白牡丹で地域素材を訴求する純米酒である。,個別沿革確認,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%b2%e3%82%8d%e3%81%97%e3%81%be%e4%b8%80%e9%80%94%e3%81%aa%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e7%b4%85%e7%94%98%e8%90%ac/,,2026-05-29T02:27:04+00:00,ひろしま一途な純米酒 白牡丹 紅甘萬(べにかんまん)もみじ饅頭により添うお酒。広島県立総合技術研究所 食品工業技術センターよりの技術移転で商品化しました。ひろしま銘菓 もみじ饅頭と共にお楽しみください。もみじ饅頭の甘味とお酒の甘味とが調和し、 驚くほどすっきりした後味に変化します。2020全国燗酒コンテスト 金賞受賞 ひろしま一途な純米酒 白牡丹 紅甘萬(べにかんまん)もみじ饅頭により添うお酒。広島県立総合技術研究所 食品工業技術センターよりの技術移転で商品化しました。ひろし,2026-09-06
白牡丹酒造,白牡丹,大吟醸,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,限定商品として展開される。凍結した生酒として鮮度保持を特徴にしている。2026-09-06時点で公式商品ページに現行品として掲載され、大吟醸、使用米 山田錦、精米歩合 40%の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/,,,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 商品紹介 全て 藝陽男山 季節限定 白牡丹 新シリーズ 甘酒・リキュール ギフト・お祝い ネットショップ限定 流通限定 輸出限定 白牡丹 【日本酒 白牡丹】長期低温熟成 大吟醸 FLUSSO 十年の歳月に宿る、極上の一献 創業三百五十年の伝統が磨き上げた白牡丹,2026-09-06
白牡丹酒造,白牡丹,大吟醸 いちの雫（しずく酒）,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,限定商品として展開される。しずく取りの酒を選別して商品化している。2026-09-06時点で公式商品ページに現行品として掲載され、大吟醸、使用米 山田錦、精米歩合 40％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%a4%a7%e5%90%9f%e9%86%b8%e3%80%80%e3%81%84%e3%81%a1%e3%81%ae%e9%9b%ab720ml%e7%93%b6%e8%a9%b0%ef%bc%88%e3%81%97%e3%81%9a/,,2025-06-16T06:22:25+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 白牡丹 【日本酒 白牡丹】大吟醸 いちの雫720ml瓶詰（しずく酒） クール便 厳選した酒造好適米を丁寧に洗米、厳格に限定吸水を行った浸漬米を旧来の甑を用い蒸し上げます。 | 仕込水に「いちの水」を用い厳冬期に仕込み、醪の管理を厳格に行った選りすぐりの大吟醸酒,2026-09-06
白牡丹酒造,白牡丹,大吟醸 中汲み,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,限定商品として展開される。搾りの中間部分である「中汲み」を分けて商品化している。2026-09-06時点で公式商品ページに現行品として掲載され、大吟醸、使用米 山田錦、精米歩合 40％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%a4%a7%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-720ml%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90%e5%ae%9a/,,2025-06-16T06:25:51+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 白牡丹 【日本酒 白牡丹】大吟醸 中汲み 720ml瓶詰【流通限定】 常温便 大吟醸中汲みは低温長期醗酵の醪を負荷極力かけず搾った豊かな味わいの大吟醸酒です。 | 数量が少なくデリケートな酒質のお酒ですので､数量･出荷先限定となります。,2026-09-06
白牡丹酒造,白牡丹,山田錦 純米吟醸 うすにごり,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,春から初夏にかけての季節限定酒として継続展開され、2026年分は4月7日に出荷開始。山田錦を使う純米吟醸のうすにごり版として毎年の季節商品に位置づけられている。,個別沿革確認,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80%e3%81%86%e3%81%99%e3%81%ab%e3%81%94%e3%82%8a/,,2026-05-29T04:53:12+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 季節限定 【日本酒 白牡丹】山田錦 純米吟醸 うすにごり 720ml瓶詰 常温便 季節限定商品。 | 酒米の王『山田錦』を自社で精米歩合60％迄磨き、米と米麹のみで醸した贅沢なうすにごり酒。,2026-09-06
白牡丹酒造,白牡丹,山田錦 純米大吟醸 氷華,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、純米大吟醸、使用米 山田錦、精米歩合 50％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8/,,2026-08-31T00:40:22+00:00,垂れ口から落ちてきたお酒を無濾過原酒のまま瓶詰め、急速凍結しました。非常にデリケートで蔵内でしか味わえなかったお酒を急速凍結することにより何時でもお楽しみ頂けます。自社精米で50％まで磨いた山田錦で醸した純米大吟醸を無濾過原酒で瓶に詰めました。口に含むとほのかなプチプチとしたガス感とフルーティーなしっかりとした甘みが口中に広がります。(株)テクニカン 液体急速凍結機 凍眠 により凍結しました。凍ったままのお酒をお届けします。冷凍便専用商品。他の商品との同梱はできません。流水な,2026-09-06
白牡丹酒造,白牡丹,山田錦 純米酒,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 山田錦、精米歩合 70％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e7%b4%94%e7%b1%b3%e9%85%921-8l%e7%93%b6%e8%a9%b0/,,2026-05-29T05:01:45+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 白牡丹 【日本酒 白牡丹】山田錦 純米酒 1.8L瓶詰 常温便 ワイングラスでおいしい日本酒アワード2017 最高金賞受賞酒 純米酒の中でも特に米にこだわった特別な純米酒です。 | 吟醸造りで知られる酒造好適米『山田錦』を全量使用し、しっかりとした膨らみのある,2026-09-06
白牡丹酒造,白牡丹,広島の酒,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、使用米 国産米100％、精米歩合 75％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e3%81%ae%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/,,2026-05-29T05:32:36+00:00,まろやかで口当たりのよいお酒。甘口で、バランスのとれた飲み飽きしないお酒。 まろやかで口当たりのよいお酒。甘口で、バランスのとれた飲み飽きしないお酒。,2026-09-06
白牡丹酒造,白牡丹,広島の酒 原酒,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,原酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、使用米 国産米100％、精米歩合 75％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e3%81%ae%e9%85%92%e5%8e%9f%e9%85%92-720ml%e7%93%b6%e8%a9%b0/,,2026-05-29T05:34:34+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 白牡丹 【日本酒 白牡丹】広島の酒 原酒 720ml瓶詰【蔵元限定】 常温便 白牡丹の定番商品『広島の酒』の原酒。,2026-09-06
白牡丹酒造,白牡丹,広島上撰 金紋,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、普通酒・上撰、使用米 国産米100%、精米歩合 70%の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b-1-8l%e7%93%b6%e8%a9%b0/,,2026-05-29T05:20:03+00:00,きめ細やかな味わいにスッキリとした喉ごしが味わいを引き締めています。甘口であと口のキレのよいお酒です。 きめ細やかな味わいにスッキリとした喉ごしが味わいを引き締めています。甘口であと口のキレのよいお酒です。,2026-09-06
白牡丹酒造,白牡丹,広島上撰 金紋 原酒,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,原酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、普通酒・上撰、使用米 国産米、精米歩合 70％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b%e3%80%80%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0%e3%80%90/,,2025-06-16T06:40:10+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 季節限定 【日本酒 白牡丹】広島上撰 金紋 原酒 720ml瓶詰【限定酒】 常温便 秋あがり！,2026-09-06
白牡丹酒造,白牡丹,広島八反 純米吟醸,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、純米吟醸、使用米 八反35号、精米歩合 60％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/,,2026-05-29T02:33:14+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 白牡丹 【日本酒 白牡丹】広島八反 純米吟醸 1.8L瓶詰 常温便 酒造好適米『八反35号』を全量使用した純米吟醸酒｡ 八反35号は『広島八反』ともよばれ、昭和37年(1962年)から広島県の奨励品種となり、今でも根強い人気のある酒米。,2026-09-06
白牡丹酒造,白牡丹,広島八反 純米大吟醸 原酒,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,広島の酒造好適米・八反35号を使う夏季限定の純米大吟醸原酒。2026年分は6月9日に出荷を開始し、前年に続く夏酒として継続販売されている。,個別沿革確認,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0/,,2026-05-29T02:30:24+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 季節限定 【日本酒 白牡丹】広島八反 純米大吟醸 原酒720ml瓶詰 常温便 【夏酒】広島八反 純米大吟醸 原酒 720ml瓶【日本酒 白牡丹】 広島八反 純米大吟醸 原酒は、広島県の酒造好適米『八反35号』を50%まで磨き、丁寧な原料処理を行いました。 | ,2026-09-06
白牡丹酒造,白牡丹,広島八反 純米大吟醸 氷華,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,蔵の代表商品として位置づけられる。2026-09-06時点で公式商品ページに現行品として掲載され、純米大吟醸、使用米 八反35号、精米歩合 50％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f/,,2026-08-31T00:41:19+00:00,広島を代表する酒米『八反35号』で醸した純米大吟醸を無濾過原酒で瓶に詰めました。,2026-09-06
白牡丹酒造,白牡丹,広島特撰 芳華金紋,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、普通酒・上撰、使用米 国産米100％、精米歩合 60％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e7%89%b9%e6%92%b0-1-8l%e7%93%b6%e8%a9%b0-2/,,2026-05-29T05:13:14+00:00,広島の酒の特質といわれる「こあじ」のあるスッキリとしたあじわいをお楽しみください。 広島の酒の特質といわれる「こあじ」のあるスッキリとしたあじわいをお楽しみください。,2026-09-06
白牡丹酒造,白牡丹,恋華 RENKA,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、使用米 中生新千本、精米歩合 60％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%81%8b%e8%8f%af-300ml%e7%93%b6%e8%a9%b0-2/,,2026-05-29T04:57:57+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 白牡丹 【日本酒 白牡丹】恋華 RENKA 300ml瓶詰 常温便 ワイングラスでおいしい日本酒アワード2023 プレミアム純米部門 金賞受賞酒 自社製造の白こうじを使った、爽やかな甘みと酸味が特徴のアルコール度数低めのお酒です。,2026-09-06
白牡丹酒造,白牡丹,恋華 RENKA ROUGE,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、使用米 中生新千本、精米歩合 60％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%81%8b%e8%8f%af-renka-rouge-300ml%e7%93%b6%e8%a9%b0/,,2026-05-29T04:58:46+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 白牡丹 【日本酒 白牡丹】恋華 RENKA ROUGE 300ml瓶詰 常温便 リンゴ酸高生産酵母を使用した柔らかな酸味が特徴の飲みやすい日本酒です。,2026-09-06
白牡丹酒造,白牡丹,新酒純米,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,限定商品として展開される。2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 国産米、精米歩合 70％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%96%b0%e9%85%92%e7%b4%94%e7%b1%b3-1-8l%e7%93%b6%e8%a9%b0-2/,,2025-11-13T05:03:13+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 季節限定 【日本酒 白牡丹】新酒純米 1.8L瓶詰 常温便 冬季限定商品販売中！,2026-09-06
白牡丹酒造,白牡丹,本醸造,収録,,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,2026-09-06時点で公式商品ページに現行品として掲載され、本醸造、使用米 国産米100％、精米歩合 60％の設計で展開されている。,現行商品位置づけ,https://www.hakubotan.co.jp/products/honjouzou-1-8l/,,2026-05-29T02:28:56+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 白牡丹 【日本酒 白牡丹】本醸造 1.8L瓶詰 常温便 しっかりとした麹に裏打ちされた低温長期醗酵によりきめ細やかできれいな酒質の本醸造酒に仕上げました。,2026-09-06
