エリア,酒蔵,ブランド,商品名,元の飲み方,元の飲み方情報,元の飲み方出典URL,おすすめの飲み方,根拠区分,公式ページ検出語,商品出典URL,公式再走査URL
西条エリア7蔵,白牡丹酒造,白牡丹,広島上撰 金紋,冷酒 / 常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b-1-8l%e7%93%b6%e8%a9%b0/,冷酒では輪郭をすっきりと、40℃前後のぬる燗から燗酒では日常酒らしいキレと旨味を引き出す飲み方がおすすめ。食事に合わせるなら冷酒と燗の両方を試し、好みの温度帯を探すとよい。,既存の飲み方情報,飲み方 / 常温 / ぬる燗 / 熱燗,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b-1-8l%e7%93%b6%e8%a9%b0/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b-1-8l%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,広島上撰 金紋 原酒,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b%e3%80%80%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0%e3%80%90/,常温から40℃前後のぬる燗を中心に、日常酒らしいキレと旨味を引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b%e3%80%80%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0%e3%80%90/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b%e3%80%80%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0%e3%80%90/
西条エリア7蔵,白牡丹酒造,白牡丹,広島特撰 芳華金紋,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e7%89%b9%e6%92%b0-1-8l%e7%93%b6%e8%a9%b0-2/,常温から40℃前後のぬる燗を中心に、日常酒らしいキレと旨味を引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e7%89%b9%e6%92%b0-1-8l%e7%93%b6%e8%a9%b0-2/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e7%89%b9%e6%92%b0-1-8l%e7%93%b6%e8%a9%b0-2/
西条エリア7蔵,白牡丹酒造,白牡丹,本醸造,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/honjouzou-1-8l/,常温から40℃前後のぬる燗を中心に、日常酒らしいキレと旨味を引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/honjouzou-1-8l/,https://www.hakubotan.co.jp/products/honjouzou-1-8l/
西条エリア7蔵,白牡丹酒造,白牡丹,本醸造 生貯蔵酒,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%9c%ac%e9%86%b8%e9%80%a0-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0/,冷やし過ぎず常温を基準に、フレッシュさを活かすのがおすすめ。香りを強く出し過ぎず、食事と一緒にゆっくり温度変化を楽しむとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%9c%ac%e9%86%b8%e9%80%a0-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%9c%ac%e9%86%b8%e9%80%a0-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,ひろしま一途な純米酒 紅甘萬(べにかんまん),常温 / ぬる燗 / 燗酒,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%b2%e3%82%8d%e3%81%97%e3%81%be%e4%b8%80%e9%80%94%e3%81%aa%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e7%b4%85%e7%94%98%e8%90%ac/,常温から40℃前後のぬる燗を中心に、米の旨味と酸のふくらみを引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%b2%e3%82%8d%e3%81%97%e3%81%be%e4%b8%80%e9%80%94%e3%81%aa%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e7%b4%85%e7%94%98%e8%90%ac/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%b2%e3%82%8d%e3%81%97%e3%81%be%e4%b8%80%e9%80%94%e3%81%aa%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e7%b4%85%e7%94%98%e8%90%ac/
西条エリア7蔵,白牡丹酒造,白牡丹,山田錦 純米酒,常温 / ぬる燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e7%b4%94%e7%b1%b3%e9%85%921-8l%e7%93%b6%e8%a9%b0/,常温から40℃前後のぬる燗を中心に、米の旨味と酸のふくらみを引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e7%b4%94%e7%b1%b3%e9%85%921-8l%e7%93%b6%e8%a9%b0/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e7%b4%94%e7%b1%b3%e9%85%921-8l%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,新酒純米,常温 / ぬる燗 / 熱燗 / 燗酒,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%96%b0%e9%85%92%e7%b4%94%e7%b1%b3-1-8l%e7%93%b6%e8%a9%b0-2/,常温から40℃前後のぬる燗を中心に、米の旨味と酸のふくらみを引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%96%b0%e9%85%92%e7%b4%94%e7%b1%b3-1-8l%e7%93%b6%e8%a9%b0-2/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%96%b0%e9%85%92%e7%b4%94%e7%b1%b3-1-8l%e7%93%b6%e8%a9%b0-2/
西条エリア7蔵,白牡丹酒造,藝陽男山,生酛純米酒 夏仕込み,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-720ml%e7%93%b6%e8%a9%b0/,常温から40℃前後のぬる燗を中心に、米の旨味と酸のふくらみを引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-720ml%e7%93%b6%e8%a9%b0/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-720ml%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,藝陽男山,生酛純米酒 夏仕込み おりがらみ,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e3%81%8a%e3%82%8a%e3%81%8c/,常温から40℃前後のぬる燗を中心に、米の旨味と酸のふくらみを引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e3%81%8a%e3%82%8a%e3%81%8c/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e3%81%8a%e3%82%8a%e3%81%8c/
西条エリア7蔵,白牡丹酒造,藝陽男山,生酛純米酒 夏仕込み 生酒,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e7%94%9f%e9%85%92-720ml%e7%93%b6/,常温から40℃前後のぬる燗を中心に、フレッシュさを活かすのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e7%94%9f%e9%85%92-720ml%e7%93%b6/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e7%94%9f%e9%85%92-720ml%e7%93%b6/
西条エリア7蔵,白牡丹酒造,白牡丹,純米生酒 氷華,常温 / 冷酒,公式商品ページ,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e7%94%9f%e9%85%92%e3%80%80%e6%b0%b7%e8%8f%af300ml/,まずは5〜10℃程度までしっかり冷やし、フレッシュさを活かすのがおすすめ。温度が上がり過ぎないうちに飲み、原酒で強く感じる場合に「ロック」の記載がある商品は大きめの氷を一つ加えると飲みやすい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e7%94%9f%e9%85%92%e3%80%80%e6%b0%b7%e8%8f%af300ml/,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e7%94%9f%e9%85%92%e3%80%80%e6%b0%b7%e8%8f%af300ml/
西条エリア7蔵,白牡丹酒造,白牡丹,純米酒,常温 / ぬる燗 / 熱燗 / 燗酒,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/,常温から40℃前後のぬる燗を中心に、米の旨味と酸のふくらみを引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,飲み方 / 常温 / ぬる燗 / 熱燗 / 燗酒,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,純米酒 山田錦 米だけの酒,冷やして / 常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b1%b3%e3%81%a0%e3%81%91%e3%81%ae%e9%85%92-900ml/,常温から40℃前後のぬる燗を中心に、米の旨味と酸のふくらみを引き出すのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b1%b3%e3%81%a0%e3%81%91%e3%81%ae%e9%85%92-900ml/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b1%b3%e3%81%a0%e3%81%91%e3%81%ae%e9%85%92-900ml/
西条エリア7蔵,白牡丹酒造,白牡丹,山田錦 純米吟醸 うすにごり,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80%e3%81%86%e3%81%99%e3%81%ab%e3%81%94%e3%82%8a/,冷やし過ぎず常温を基準に、発泡感やにごりの口当たりを活かすのがおすすめ。香りを強く出し過ぎず、食事と一緒にゆっくり温度変化を楽しむとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80%e3%81%86%e3%81%99%e3%81%ab%e3%81%94%e3%82%8a/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80%e3%81%86%e3%81%99%e3%81%ab%e3%81%94%e3%82%8a/
西条エリア7蔵,白牡丹酒造,白牡丹,広島八反 純米吟醸,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/,冷やし過ぎず常温を基準に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。香りを強く出し過ぎず、食事と一緒にゆっくり温度変化を楽しむとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,純米吟醸,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/,冷やし過ぎず常温を基準に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。香りを強く出し過ぎず、食事と一緒にゆっくり温度変化を楽しむとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,純米吟醸 中汲み,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-720ml%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90/,冷やし過ぎず常温を基準に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。香りを強く出し過ぎず、食事と一緒にゆっくり温度変化を楽しむとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-720ml%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-720ml%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90/
西条エリア7蔵,白牡丹酒造,白牡丹,純米吟醸 生貯蔵酒,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0-%e3%80%90%e8%bc%b8%e5%87%ba/,冷やし過ぎず常温を基準に、フレッシュさを活かすのがおすすめ。香りを強く出し過ぎず、食事と一緒にゆっくり温度変化を楽しむとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0-%e3%80%90%e8%bc%b8%e5%87%ba/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0-%e3%80%90%e8%bc%b8%e5%87%ba/
西条エリア7蔵,白牡丹酒造,白牡丹,純米吟醸萌えいぶき,常温 / ぬる燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e8%90%8c%e3%81%88%e3%81%84%e3%81%b6%e3%81%8d1-8%ef%bd%8c%e7%93%b6%e8%a9%b0/,常温から40℃前後のぬる燗を中心に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。より熱い燗も適温に含まれる場合は、45〜50℃程度まで上げて後口の締まり方を比べるとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e8%90%8c%e3%81%88%e3%81%84%e3%81%b6%e3%81%8d1-8%ef%bd%8c%e7%93%b6%e8%a9%b0/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e8%90%8c%e3%81%88%e3%81%84%e3%81%b6%e3%81%8d1-8%ef%bd%8c%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,華 純米吟醸,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e8%8f%af%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80-300ml%e7%93%b6%e3%80%90%e8%bc%b8%e5%87%ba%e5%b0%82%e7%94%a8/,冷やし過ぎず常温を基準に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。香りを強く出し過ぎず、食事と一緒にゆっくり温度変化を楽しむとよい。,既存の飲み方情報,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e8%8f%af%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80-300ml%e7%93%b6%e3%80%90%e8%bc%b8%e5%87%ba%e5%b0%82%e7%94%a8/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e8%8f%af%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80-300ml%e7%93%b6%e3%80%90%e8%bc%b8%e5%87%ba%e5%b0%82%e7%94%a8/
