record_id,酒蔵,ブランド,商品名,正式名称,販売状態,販売状態確認日,特定名称,精米歩合,アルコール度数,日本酒度,酸度,アミノ酸度,甘辛度,使用米,酵母,製法,おすすめ温度,おすすめ酒器,料理ペアリング,おすすめシーン,容量,価格,発売時期,終売時期,備考,詳細ファイル,主出典ID,出典数
SANYOTSURU_613AEF8395,山陽鶴酒造,山陽鶴,大吟醸 しぼりたて,大吟醸 しぼりたて,不明,2026-09-05,大吟醸,,,,,,,,,,,,,,,,,,2024年蔵開き限定酒,山陽鶴酒造/大吟醸 しぼりたて.md,SRC_7BAF9205361C,1
SANYOTSURU_7DC3806494,山陽鶴酒造,山陽鶴,本醸造,本醸造,販売中,2026-09-05,本醸造,,,,,,,,,,,,,,,,,,公式五酒セットに現行代表酒として掲載,山陽鶴酒造/本醸造.md,SRC_3A7A39BC0247,1
SANYOTSURU_AE0F2A5441,山陽鶴酒造,山陽鶴,清酒にごり おり酒,清酒にごり おり酒,終売,2026-09-05,,,,,,,,,,,,,,,,,,,2026-04-14公式発表。在庫限りで終売,山陽鶴酒造/清酒にごり おり酒.md,SRC_8DED7835AC66,1
SANYOTSURU_32510DF796,山陽鶴酒造,山陽鶴,純米吟醸,純米吟醸,販売中,2026-09-05,純米吟醸,,,,,,,,,,,,,,,,,,公式五酒セットに現行代表酒として掲載,山陽鶴酒造/純米吟醸.md,SRC_3A7A39BC0247,1
SANYOTSURU_AAB78C1203,山陽鶴酒造,山陽鶴,純米吟醸 しぼりたて,純米吟醸 しぼりたて,不明,2026-09-05,純米吟醸,,,,,,,,,,,,,,,,,,2026年蔵開き限定酒,山陽鶴酒造/純米吟醸 しぼりたて.md,SRC_9B0D66811984,1
SANYOTSURU_9404AD4529,山陽鶴酒造,山陽鶴,純米酒 生しぼりたて,純米酒 生しぼりたて,不明,2026-09-05,純米酒,,,,,,,,,,,,,,,,,,2026年蔵開き限定酒,山陽鶴酒造/純米酒 生しぼりたて.md,SRC_9B0D66811984,1
TSUKA_4E5C1093FB,柄酒造,於多福 / 関西一,9代目於多福 protos. 火入れ,9代目於多福 protos. 火入れ,販売中,2026-09-05,,７１%,１３度,,,,,"八反錦 精米歩合：７１% アルコール度数：１３度 酵母：協会７号 もろみ日数：41日 (71、13、7、41、全て素数です） {""id"":91895203104",,,,,,,,,,,公式オンラインショップで販売確認,柄酒造/9代目於多福 protos. 火入れ.md,SRC_D84ED2F8370A,1
TSUKA_1A7AC042B5,柄酒造,於多福 / 関西一,9代目於多福 つきあかり,9代目於多福 つきあかり,販売中,2026-09-05,,60%,15度,,,,,"山田錦 精米歩合：60% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":8046672674990,""title"":""9代目於多福 つきあかり 7",,,冷酒 / 常温,,,,,,,,公式オンラインショップで販売確認,柄酒造/9代目於多福 つきあかり.md,SRC_591113468854,1
TSUKA_E7934CDFF3,柄酒造,於多福 / 関西一,9代目於多福 特別純米 火入れ,9代目於多福 特別純米 火入れ,販売中,2026-09-05,特別純米酒,,15度,,,,,"八反錦 精米歩合：米麹 50% 掛け米 60% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":7981920288942,""title"":""【火入",,,冷酒 / 常温,,,,,,,,公式オンラインショップで販売確認,柄酒造/9代目於多福 特別純米 火入れ.md,SRC_BEA63C25C10E,1
TSUKA_2B046144D3,柄酒造,於多福 / 関西一,9代目於多福 純米 火入れ,9代目於多福 純米 火入れ,販売中,2026-09-05,純米酒,60%,15度,,,,,"八反錦 精米歩合：60% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":7981013172398,""title"":""【火入れ】9代目於多福 純米",,,冷酒 / 常温,,,,,,,,公式オンラインショップで販売確認,柄酒造/9代目於多福 純米 火入れ.md,SRC_3F164DE9EB71,1
TSUKA_1B2FEEEF7C,柄酒造,於多福 / 関西一,9代目於多福 純米吟醸 すずかぜ,9代目於多福 純米吟醸 すずかぜ,販売中,2026-09-05,純米吟醸,50%,15度,,,,,"雄町 精米歩合：50% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":8008537899182,""title"":""9代目於多福 純米吟醸 すずか",,,冷酒 / 常温 / ロック,,,,,,,,公式オンラインショップで販売確認,柄酒造/9代目於多福 純米吟醸 すずかぜ.md,SRC_EDFEC7CE599D,1
TSUKA_80C951BF08,柄酒造,於多福 / 関西一,9代目於多福 純米吟醸 火入れ,9代目於多福 純米吟醸 火入れ,販売中,2026-09-05,純米吟醸,50%,15度,,,,,"八反錦 精米歩合：50% アルコール度数：15度 飲み方：◎冷酒 〇常温 {""id"":7981919305902,""title"":""【火入れ】9代目於多福 純米",,,冷酒 / 常温,,,,,,,,公式オンラインショップで販売確認,柄酒造/9代目於多福 純米吟醸 火入れ.md,SRC_EC13F18FE8BA,1
TSUKA_31CA2C0123,柄酒造,於多福 / 関西一,9代目於多福 純米大吟醸 火入れ,9代目於多福 純米大吟醸 火入れ,販売中,2026-09-05,純米大吟醸,40%,15度,,,,,"千本錦 精米歩合：40% アルコール度数：15度 飲み方：◎冷酒 ○常温 {""id"":8053542846638,""title"":""【火入れ】9代目於多福 純米",,,冷酒 / 常温,,,,,,,,公式オンラインショップで販売確認,柄酒造/9代目於多福 純米大吟醸 火入れ.md,SRC_426E0D9972AD,1
TSUKA_A47DDCE6B2,柄酒造,於多福 / 関西一,於多福 一番取り,於多福 一番取り,販売中,2026-09-05,,40％,16.5度,,,,,"千本錦 精米歩合：40％ アルコール度数：16.5度 飲み方：◎冷酒 {""id"":7986565415086,""title"":""於多福 一番取り 720ml（桐",,,冷酒,,,,,,,,公式オンラインショップで販売確認,柄酒造/於多福 一番取り.md,SRC_6C4B630CAB71,1
TSUKA_6F79109356,柄酒造,於多福 / 関西一,於多福 大吟醸,於多福 大吟醸,販売中,2026-09-05,大吟醸,40%,16.5度,,,,,千本錦 精米歩合：40% アルコール度数：16.5度 飲み方：◎冷酒 〇常温 「関西一 大吟醸 1800ml」という名称で親しまれてきましたが、2023年5月よ,,,冷酒 / 常温,,,,,,,,公式オンラインショップで販売確認 / 二次DBでも存在確認,柄酒造/於多福 大吟醸.md,SRC_513AAF702184,3
TSUKA_38EDE866D0,柄酒造,於多福 / 関西一,於多福 本醸造,於多福 本醸造,販売中,2026-09-05,本醸造,65％,15.5度,,,,,"八反錦 精米歩合：65％ アルコール度数：15.5度 飲み方：◎冷酒 ◎常温 ◎熱燗 {""id"":7986570035374,""title"":""於多福 本醸造",,,冷酒 / 常温 / 熱燗,,,,,,,,公式オンラインショップで販売確認,柄酒造/於多福 本醸造.md,SRC_2681BD762ED6,1
TSUKA_2BED074A79,柄酒造,於多福 / 関西一,於多福 純米,於多福 純米,販売中,2026-09-05,純米酒,60％,15.5度,,,,,"八反錦 アルコール度数：15.5度 飲み方：〇冷酒 ◎常温 ◎熱燗 {""id"":7986568560814,""title"":""於多福 純米 1800ml"",""h",,,冷酒 / 常温 / 熱燗,,,,,,,,公式オンラインショップで販売確認 / 二次DBでも存在確認,柄酒造/於多福 純米.md,SRC_3224805479E3,3
TSUKA_1B412B5EC9,柄酒造,於多福 / 関西一,於多福 純米吟醸,於多福 純米吟醸,販売中,2026-09-05,純米吟醸,60％,15.5度,,,,,"八反錦 精米歩合：60％ アルコール度数：15.5度 飲み方：◎冷酒 ◎常温 {""id"":7986567381166,""title"":""於多福 純米吟醸 180",,,冷酒 / 冷やして / 常温,,,,,,,,公式オンラインショップで販売確認 / 二次DBでも存在確認,柄酒造/於多福 純米吟醸.md,SRC_6BE30EF99475,3
HAKUBOTAN_A70E8687E1,白牡丹酒造,白牡丹,Paeon(ピオン),Paeon(ピオン),販売中,2026-09-05,,60％,,-1.5,1.98,0.86,,千本錦 日本酒度 -1.5 酸度 1.98 アミノ酸度 0.86 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県,,,常温,,,,,,,,,白牡丹酒造/Paeon(ピオン).md,SRC_E8001F826CEC,1
HAKUBOTAN_CA823D3FAB,白牡丹酒造,白牡丹,さらりとうまくち,さらりとうまくち,販売中,2026-09-05,,70％,,0,1.1,1.0,,国産米100％ 日本酒度 0 酸度 1.1 アミノ酸度 1.0 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-00,,,冷やして / 常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/さらりとうまくち.md,SRC_C099005AF5D6,1
HAKUBOTAN_A4DDDF2666,白牡丹酒造,白牡丹,すっきり旨口,すっきり旨口,販売中,2026-09-05,,75％,,-3,1.0,0.8,,国産米100％ 日本酒度 -3 酸度 1.0 アミノ酸度 0.8 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/すっきり旨口.md,SRC_E0FF9E5B6DBA,2
HAKUBOTAN_7F234E0259,白牡丹酒造,白牡丹,ひろしま一途な純米酒 紅甘萬(べにかんまん),ひろしま一途な純米酒 紅甘萬(べにかんまん),販売中,2026-09-05,純米酒,70％,,-69,1.1,0.9,,国産米 日本酒度 -69 酸度 1.1 アミノ酸度 0.9 おすすめの飲み方 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島,,,常温 / ぬる燗 / 燗酒,,,,,,,,,白牡丹酒造/ひろしま一途な純米酒 紅甘萬(べにかんまん).md,SRC_CE0587C84389,2
HAKUBOTAN_5493044407,白牡丹酒造,白牡丹,大吟醸,大吟醸,販売中,2026-09-05,大吟醸,40％,,+3,1.36,0.54,,山田錦 日本酒度 +3 酸度 1.36 アミノ酸度 0.54 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東広,,,常温,,,,,,,,,白牡丹酒造/大吟醸.md,SRC_140E5F938388,3
HAKUBOTAN_700EB41E1C,白牡丹酒造,白牡丹,大吟醸 いちの雫 （しずく酒）,大吟醸 いちの雫 （しずく酒）,販売中,2026-09-05,大吟醸,40％,,+2.5,1.28,0.6,,山田錦 日本酒度 +2.5 酸度 1.28 アミノ酸度 0.6 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東,,,,,,,,,,,,白牡丹酒造/大吟醸 いちの雫 （しずく酒）.md,SRC_B332FC035E9D,1
HAKUBOTAN_503F2726B3,白牡丹酒造,白牡丹,大吟醸 いちの雫（しずく酒）,大吟醸 いちの雫（しずく酒）,販売中,2026-09-05,大吟醸,40％,,+3,1.36,0.72,,山田錦 日本酒度 +3 酸度 1.36 アミノ酸度 0.72 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東広,,,,,,,,,,,,白牡丹酒造/大吟醸 いちの雫（しずく酒）.md,SRC_DA7CD7F23CBC,1
HAKUBOTAN_CB866B82D1,白牡丹酒造,白牡丹,大吟醸 中汲み,大吟醸 中汲み,販売中,2026-09-05,大吟醸,40％,,+3,1.26,0.5,,山田錦 日本酒度 +3 酸度 1.26 アミノ酸度 0.5 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東広島,,,常温,,,,,,,,,白牡丹酒造/大吟醸 中汲み.md,SRC_2104A220E83A,2
HAKUBOTAN_6AF6D23E12,白牡丹酒造,白牡丹,山田錦 純米吟醸 うすにごり,山田錦 純米吟醸 うすにごり,販売中,2026-09-05,純米吟醸,60％,,-9.5,1.4,0.8,,山田錦 日本酒度 -9.5 酸度 1.4 アミノ酸度 0.8 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東広,,,常温,,,,,,,,,白牡丹酒造/山田錦 純米吟醸 うすにごり.md,SRC_32FD557EEF4D,1
HAKUBOTAN_9387AD8DAE,白牡丹酒造,白牡丹,山田錦 純米大吟醸 氷華,山田錦 純米大吟醸 氷華,販売中,2026-09-05,純米大吟醸,50％,,-1.5,2.0,0.92,,山田錦 日本酒度 -1.5 酸度 2.0 アミノ酸度 0.92 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東,,,,,,,,,,,,白牡丹酒造/山田錦 純米大吟醸 氷華.md,SRC_A9A8B25C41DB,1
HAKUBOTAN_5A63528F2B,白牡丹酒造,白牡丹,山田錦 純米酒,山田錦 純米酒,販売中,2026-09-05,純米酒,70％,,-1,1.5,1.3,,山田錦 日本酒度 -1 酸度 1.5 アミノ酸度 1.3 おすすめの飲み方 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県,,,常温 / ぬる燗,,,,,,,,,白牡丹酒造/山田錦 純米酒.md,SRC_5C575223458D,2
HAKUBOTAN_4FA831756B,白牡丹酒造,白牡丹,広島の酒,広島の酒,販売中,2026-09-05,,75％,,-5,1.0,0.9,,国産米100％ 日本酒度 -5 酸度 1.0 アミノ酸度 0.9 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/広島の酒.md,SRC_45A6EE3ACFF6,4
HAKUBOTAN_046230BCE0,白牡丹酒造,白牡丹,広島の酒 原酒,広島の酒 原酒,販売中,2026-09-05,,75％,,-7,1.3,,,国産米100％ 日本酒度 -7 酸度 1.3 アミノ酸度 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 ロック 公式ネットショップへ 一覧へ戻る 〒739-0,,,冷酒 / 常温 / ぬる燗 / 熱燗 / 燗酒 / ロック,,,,,,,,,白牡丹酒造/広島の酒 原酒.md,SRC_A6DD210B86A2,1
HAKUBOTAN_29EDCD7471,白牡丹酒造,白牡丹,広島上撰 金紋,広島上撰 金紋,販売中,2026-09-05,,70％,,-2,1.1,0.9,,国産米100％ 日本酒度 -2 酸度 1.1 アミノ酸度 0.9 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/広島上撰 金紋.md,SRC_F5CA093DF40A,7
HAKUBOTAN_C40C98C399,白牡丹酒造,白牡丹,広島上撰 金紋 原酒,広島上撰 金紋 原酒,販売中,2026-09-05,,70％,,-2,1.5,1.2,,国産米 日本酒度 -2 酸度 1.5 アミノ酸度 1.2 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/広島上撰 金紋 原酒.md,SRC_4DCBEE5BDD11,1
HAKUBOTAN_8F656DF526,白牡丹酒造,白牡丹,広島八反 純米吟醸,広島八反 純米吟醸,販売中,2026-09-05,純米吟醸,60％,,+1.5,1.48,0.96,,八反35号 日本酒度 +1.5 酸度 1.48 アミノ酸度 0.96 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広,,,常温,,,,,,,,,白牡丹酒造/広島八反 純米吟醸.md,SRC_FDE2A0BA9DF5,2
HAKUBOTAN_28CC64F84E,白牡丹酒造,白牡丹,広島八反 純米大吟醸 原酒,広島八反 純米大吟醸 原酒,販売中,2026-09-05,純米大吟醸,50％,,-0.5,1.62,0.76,,八反35号 日本酒度 -0.5 酸度 1.62 アミノ酸度 0.76 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広,,,常温,,,,,,,,,白牡丹酒造/広島八反 純米大吟醸 原酒.md,SRC_EC49B0FFA2B4,1
HAKUBOTAN_458F4F5F9E,白牡丹酒造,白牡丹,広島八反 純米大吟醸 氷華,広島八反 純米大吟醸 氷華,販売中,2026-09-05,純米大吟醸,50％,,0,2.3,1.0,,八反35号 日本酒度 0 酸度 2.3 アミノ酸度 1.0 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東広島,,,,,,,,,,,,白牡丹酒造/広島八反 純米大吟醸 氷華.md,SRC_32C166889B02,1
HAKUBOTAN_B9CDF398A7,白牡丹酒造,白牡丹,広島特撰 芳華金紋,広島特撰 芳華金紋,販売中,2026-09-05,,60％,,+1,1.3,0.9,,国産米100％ 日本酒度 +1 酸度 1.3 アミノ酸度 0.9 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/広島特撰 芳華金紋.md,SRC_3741D298E445,2
HAKUBOTAN_681E78EC45,白牡丹酒造,白牡丹,恋華 RENKA,恋華 RENKA,販売中,2026-09-05,,60％,,-15,1.96,0.72,,中生新千本 日本酒度 -15 酸度 1.96 アミノ酸度 0.72 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島,,,常温,,,,,,,,,白牡丹酒造/恋華 RENKA.md,SRC_8FFA97F28EEC,1
HAKUBOTAN_3D44E76421,白牡丹酒造,白牡丹,恋華 RENKA ROUGE,恋華 RENKA ROUGE,販売中,2026-09-05,,60％,,-15,2.3,0.72,,中生新千本 日本酒度 -15 酸度 2.3 アミノ酸度 0.72 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県,,,常温,,,,,,,,,白牡丹酒造/恋華 RENKA ROUGE.md,SRC_D36BA1E5C543,1
HAKUBOTAN_16C816833F,白牡丹酒造,白牡丹,新酒純米,新酒純米,販売中,2026-09-05,純米酒,70％,,-4.5,2.14,1.02,,国産米 日本酒度 -4.5 酸度 2.14 アミノ酸度 1.02 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,常温 / ぬる燗 / 熱燗 / 燗酒,,,,,,,,,白牡丹酒造/新酒純米.md,SRC_FD2AE1488556,3
HAKUBOTAN_7DC3806494,白牡丹酒造,白牡丹,本醸造,本醸造,販売中,2026-09-05,本醸造,60％,,+1,1.3,0.9,,国産米100％ 日本酒度 +1 酸度 1.3 アミノ酸度 0.9 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/本醸造.md,SRC_B14240AFFAD7,1
HAKUBOTAN_CD90B70A5B,白牡丹酒造,白牡丹,本醸造 生貯蔵酒,本醸造 生貯蔵酒,販売中,2026-09-05,本醸造,60％,,+0.5,1.62,0.78,,国産米 日本酒度 +0.5 酸度 1.62 アミノ酸度 0.78 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県,,,常温,,,,,,,,,白牡丹酒造/本醸造 生貯蔵酒.md,SRC_C3CFD5838075,2
HAKUBOTAN_C1B807AF40,白牡丹酒造,白牡丹,生酛純米酒 夏仕込み,生酛純米酒 夏仕込み,販売中,2026-09-05,純米酒,70％,,+20.5,3.06,1.84,,中生新千本 日本酒度 +20.5 酸度 3.06 アミノ酸度 1.84 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒73,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/生酛純米酒 夏仕込み.md,SRC_67880FD3300D,1
HAKUBOTAN_377D7CDC1F,白牡丹酒造,白牡丹,生酛純米酒 夏仕込み おりがらみ,生酛純米酒 夏仕込み おりがらみ,販売中,2026-09-05,純米酒,70％,,+20.5,3.06,1.84,,中生新千本 日本酒度 +20.5 酸度 3.06 アミノ酸度 1.84 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒73,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/生酛純米酒 夏仕込み おりがらみ.md,SRC_4F116420B795,1
HAKUBOTAN_10D6A6828E,白牡丹酒造,白牡丹,生酛純米酒 夏仕込み 生酒,生酛純米酒 夏仕込み 生酒,販売中,2026-09-05,純米酒,70％,,+20.5,3.06,1.84,,中生新千本 日本酒度 +20.5 酸度 3.06 アミノ酸度 1.84 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒73,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/生酛純米酒 夏仕込み 生酒.md,SRC_191B4815F95D,1
HAKUBOTAN_BFF6C7F309,白牡丹酒造,白牡丹,純米サンフレカップ,純米サンフレカップ,販売中,2026-09-05,純米酒,70％,,0,1.7,1.0,,広島県産米 日本酒度 0 酸度 1.7 アミノ酸度 1.0 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/純米サンフレカップ.md,SRC_ACE985FD1996,1
HAKUBOTAN_32510DF796,白牡丹酒造,白牡丹,純米吟醸,純米吟醸,販売中,2026-09-05,純米吟醸,60％,,+0.5,1.82,1.0,,山田錦 日本酒度 +0.5 酸度 1.82 アミノ酸度 1.0 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東,,,常温,,,,,,,,,白牡丹酒造/純米吟醸.md,SRC_5FC876EC1D75,2
HAKUBOTAN_162506AF95,白牡丹酒造,白牡丹,純米吟醸 中汲み,純米吟醸 中汲み,販売中,2026-09-05,純米吟醸,50％,,+1,1.72,1.08,,山田錦 日本酒度 +1 酸度 1.72 アミノ酸度 1.08 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県東広,,,常温,,,,,,,,,白牡丹酒造/純米吟醸 中汲み.md,SRC_DE874C98A0F8,2
HAKUBOTAN_96747254A9,白牡丹酒造,白牡丹,純米吟醸 生貯蔵酒,純米吟醸 生貯蔵酒,販売中,2026-09-05,純米吟醸,60％,,-2,1.6,0.9,,山田錦 日本酒度 -2 酸度 1.6 アミノ酸度 0.9 おすすめの飲み方 常 温 冷 酒 一覧へ戻る 〒739-0011 広島県東広島市西条本町15番5号 0,,,常温,,,,,,,,,白牡丹酒造/純米吟醸 生貯蔵酒.md,SRC_6457EBE4BCA5,3
HAKUBOTAN_AD656ED8AE,白牡丹酒造,白牡丹,純米吟醸萌えいぶき,純米吟醸萌えいぶき,販売中,2026-09-05,純米吟醸,60％,,-3.0,1.6,0.7,,萌えいぶき 日本酒度 -3.0 酸度 1.6 アミノ酸度 0.7 おすすめの飲み方 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011,,,常温 / ぬる燗,,,,,,,,,白牡丹酒造/純米吟醸萌えいぶき.md,SRC_038615C55B7F,2
HAKUBOTAN_16B380CD98,白牡丹酒造,白牡丹,純米大吟醸 令和一号酵母,純米大吟醸 令和一号酵母,販売中,2026-09-05,純米大吟醸,50％,,-4.5,2.36,0.86,,山田錦 日本酒度 -4.5 酸度 2.36 アミノ酸度 0.86 おすすめの飲み方 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011,,,常温 / ぬる燗,,,,,,,,,白牡丹酒造/純米大吟醸 令和一号酵母.md,SRC_DB2EC858C0D8,1
HAKUBOTAN_A5F43BBB32,白牡丹酒造,白牡丹,純米大吟醸 原酒 万年蔵 杜氏 鹿島正,純米大吟醸 原酒 万年蔵 杜氏 鹿島正,販売中,2026-09-05,純米大吟醸,38％,,-8,1.48,0.88,,千本錦 日本酒度 -8 酸度 1.48 アミノ酸度 0.88 おすすめの飲み方 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広,,,常温 / ぬる燗 / 燗酒,,,,,,,,,白牡丹酒造/純米大吟醸 原酒 万年蔵 杜氏 鹿島正.md,SRC_A8F29FDB12D8,2
HAKUBOTAN_50669AE4B6,白牡丹酒造,白牡丹,純米大吟醸 悠星(ゆうせい),純米大吟醸 悠星(ゆうせい),販売中,2026-09-05,純米大吟醸,50％,,-0.5,1.7,0.96,,八反35号 日本酒度 -0.5 酸度 1.7 アミノ酸度 0.96 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島,,,常温,,,,,,,,,白牡丹酒造/純米大吟醸 悠星(ゆうせい).md,SRC_9D0366C70539,1
HAKUBOTAN_E1282DBB0C,白牡丹酒造,白牡丹,純米大吟醸 龍王井,純米大吟醸 龍王井,販売中,2026-09-05,純米大吟醸,48％,,-1.5,1.6,1.0,,中生新千本 日本酒度 -1.5 酸度 1.6 アミノ酸度 1.0 おすすめの飲み方 常 温 冷 酒 一覧へ戻る 〒739-0011 広島県東広島市西条本町15番,,,常温,,,,,,,,,白牡丹酒造/純米大吟醸 龍王井.md,SRC_2EF648AC38BB,1
HAKUBOTAN_5E49796AF7,白牡丹酒造,白牡丹,純米生酒 氷華,純米生酒 氷華,販売中,2026-09-05,純米酒,70％,,-30,2.68,1.14,,中生新千本 日本酒度 -30 酸度 2.68 アミノ酸度 1.14 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島,,,,,,,,,,,,白牡丹酒造/純米生酒 氷華.md,SRC_78B8CFD32FDC,1
HAKUBOTAN_2FE12A5356,白牡丹酒造,白牡丹,純米酒,純米酒,販売中,2026-09-05,純米酒,70％,,+0.5,1.72,0.94,,国産米 日本酒度 +0.5 酸度 1.72 アミノ酸度 0.94 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,常温 / ぬる燗 / 熱燗 / 燗酒,,,,,,,,,白牡丹酒造/純米酒.md,SRC_D8A5AA10CDB2,3
HAKUBOTAN_66EEB8D695,白牡丹酒造,白牡丹,純米酒 山田錦 米だけの酒,純米酒 山田錦 米だけの酒,販売中,2026-09-05,純米酒,75％,,+2,1.3,1.0,,山田錦 日本酒度 +2 酸度 1.3 アミノ酸度 1.0 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011,,,冷やして / 常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/純米酒 山田錦 米だけの酒.md,SRC_D9A3BFA2FCCF,2
HAKUBOTAN_A725F86F1E,白牡丹酒造,白牡丹,華 純米吟醸,華 純米吟醸,販売中,2026-09-05,純米吟醸,60％,,-15,2.3,0.72,,国産米 日本酒度 -15 酸度 2.3 アミノ酸度 0.72 おすすめの飲み方 常 温 冷 酒 一覧へ戻る 〒739-0011 広島県東広島市西条本町15番5号,,,常温,,,,,,,,,白牡丹酒造/華 純米吟醸.md,SRC_C9C6C6D6EE35,1
HAKUBOTAN_151FBB4B6B,白牡丹酒造,白牡丹,超特撰,超特撰,販売中,2026-09-05,,60％,,+2,1.4,1.1,,国産米100％ 日本酒度 +2 酸度 1.4 アミノ酸度 1.1 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/超特撰.md,SRC_FDA00D0EE56B,1
HAKUBOTAN_3C0CACD0A6,白牡丹酒造,白牡丹,超特撰 純金箔入,超特撰 純金箔入,販売中,2026-09-05,,60％,,+2,1.4,1.1,,国産米100％ 日本酒度 +2 酸度 1.4 アミノ酸度 1.1 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,常温 / ぬる燗 / 熱燗,,,,,,,,,白牡丹酒造/超特撰 純金箔入.md,SRC_103D6C3EB1DE,1
