酒蔵,ブランド,シリーズ,ブランド優先度,ブランド位置づけ,商品名,分類,甘辛目安,甘辛判定根拠,日本酒度,精米歩合,アルコール度数,おすすめの飲み方,飲み方情報,飲み方出典URL,使用米,容量,参考価格,流通区分,備考,出典URL,出典数,酒蔵の歴史,銘柄の歴史,おすすめの飲み方（文章）
柄酒造,於多福,,C,,於多福 本醸造,本醸造,不明,公開情報で判定材料不足,,65％,15.5度,冷酒 / 常温 / 熱燗,出典記載,https://www.tsukasyuzou.jp/products/関西一-本醸造-720ml,八反錦,720ml,"1,320円",一般流通,公式オンラインショップで販売確認,https://www.tsukasyuzou.jp/products/関西一-本醸造-720ml,1,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】1848（嘉永元）年の創業時から続く柄酒造の銘柄。1907年の第1回全国清酒品評会で優等一位を受賞し、安芸津の地酒として受け継がれてきた。広島県酒造組合の紹介では、創業家の船「於多福丸」と「米を福ととらえる思い」が名の背景とされる。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、本醸造、使用米 八反錦、精米歩合 65％の設計で展開されている。,冷酒では輪郭をすっきりと、40℃前後のぬる燗から燗酒では日常酒らしいキレと旨味を引き出す飲み方がおすすめ。食事に合わせるなら冷酒と燗の両方を試し、好みの温度帯を探すとよい。
柄酒造,9代目於多福,,B,現行中心シリーズ,9代目於多福 特別純米 火入れ,特別純米,不明,公開情報で判定材料不足,,,15度,冷酒 / 常温,出典記載,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-特別純米,八反錦,"720ml / 1,800ml","1,980～3,740円",一般流通,公式オンラインショップで販売確認,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-特別純米,1,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】9代目蔵元・杜氏の柄総一郎が担う現行ラインで、創業銘柄「於多福」の名を継ぎながら、新しい設計の酒を展開するシリーズ。2026年には素数をテーマにした「protos.」や季節酒「つきあかり」などを発売している。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、特別純米、使用米 八反錦の設計で展開されている。,ラインナップ中でも特に辛口のため、まず10〜15℃程度の冷酒でシャープな後口を楽しむのがおすすめ。常温でも飲めるので、食中では温度を少し戻しながら米の旨味とのバランスを見るとよい。
柄酒造,9代目於多福,,A,現行中心シリーズ,9代目於多福 純米 火入れ,純米,不明,公開情報で判定材料不足,,60%,15度,冷酒 / 常温,出典記載,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米,八反錦,"720ml / 1,800ml","1,760～3,300円",一般流通,公式オンラインショップで販売確認,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米,1,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】9代目蔵元・杜氏の柄総一郎が担う現行ラインで、創業銘柄「於多福」の名を継ぎながら、新しい設計の酒を展開するシリーズ。2026年には素数をテーマにした「protos.」や季節酒「つきあかり」などを発売している。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 八反錦、精米歩合 60%の設計で展開されている。,蔵元表示どおり冷酒を第一候補にし、10〜15℃程度で米の旨味とすっきりした辛口の輪郭を楽しむのがおすすめ。常温でもまとまりが出るため、普段の食中酒なら冷酒から常温への変化も試しやすい。
柄酒造,於多福,,A,従来主ブランドの主要商品,於多福 純米,純米,不明,公開情報で判定材料不足,,60％,15.5度,冷酒 / 常温 / 熱燗,出典記載,https://www.tsukasyuzou.jp/products/於多福-純米-1800ml,八反錦,"720ml / 1,800ml","1,760～3,300円",一般流通,公式オンラインショップで販売確認 / 二次DBでも存在確認,https://www.tsukasyuzou.jp/products/於多福-純米-1800ml,3,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】1848（嘉永元）年の創業時から続く柄酒造の銘柄。1907年の第1回全国清酒品評会で優等一位を受賞し、安芸津の地酒として受け継がれてきた。広島県酒造組合の紹介では、創業家の船「於多福丸」と「米を福ととらえる思い」が名の背景とされる。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 八反錦、精米歩合 60％の設計で展開されている。,冷酒では輪郭をすっきりと、40℃前後のぬる燗から燗酒では米の旨味と酸のふくらみを引き出す飲み方がおすすめ。食事に合わせるなら冷酒と燗の両方を試し、好みの温度帯を探すとよい。
柄酒造,9代目於多福,,C,,9代目於多福 純米吟醸 すずかぜ,純米吟醸,不明,公開情報で判定材料不足,,50%,15度,冷酒 / 常温 / ロック,出典記載,https://www.tsukasyuzou.jp/products/9代目於多福-すずかぜ-720ml,雄町,720ml,"2,200円",季節商品,公式オンラインショップで販売確認,https://www.tsukasyuzou.jp/products/9代目於多福-すずかぜ-720ml,1,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】9代目蔵元・杜氏の柄総一郎が担う現行ラインで、創業銘柄「於多福」の名を継ぎながら、新しい設計の酒を展開するシリーズ。2026年には素数をテーマにした「protos.」や季節酒「つきあかり」などを発売している。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、純米吟醸、使用米 雄町、精米歩合 50%の設計で展開されている。,10〜15℃程度の冷酒を起点に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。常温も適温に含まれるため、グラスの中で少し温度を上げて香りと旨味の変化を比べるとよい。
柄酒造,9代目於多福,,A,現行中心シリーズ,9代目於多福 純米吟醸 火入れ,純米吟醸,不明,公開情報で判定材料不足,,50%,15度,冷酒 / 常温,出典記載,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米吟醸,八反錦,"720ml / 1,800ml","2,200～3,740円",一般流通,公式オンラインショップで販売確認,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米吟醸,1,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】9代目蔵元・杜氏の柄総一郎が担う現行ラインで、創業銘柄「於多福」の名を継ぎながら、新しい設計の酒を展開するシリーズ。2026年には素数をテーマにした「protos.」や季節酒「つきあかり」などを発売している。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、純米吟醸、使用米 八反錦、精米歩合 50%の設計で展開されている。,蔵元が冷酒を最も推しているため、10〜15℃程度に冷やして香りと辛口のバランスを楽しむのがおすすめ。冷やし過ぎず、グラスの中で常温に近づく変化も追うと旨味が分かりやすい。
柄酒造,於多福,,A,従来主ブランドの主要商品,於多福 純米吟醸,純米吟醸,不明,公開情報で判定材料不足,,60％,15.5度,冷酒 / 冷やして / 常温,出典記載,https://www.tsukasyuzou.jp/products/於多福-純米吟醸-1800ml,八反錦,"720ml / 1,800ml","1,980～3,740円",一般流通,公式オンラインショップで販売確認 / 二次DBでも存在確認,https://www.tsukasyuzou.jp/products/於多福-純米吟醸-1800ml,3,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】1848（嘉永元）年の創業時から続く柄酒造の銘柄。1907年の第1回全国清酒品評会で優等一位を受賞し、安芸津の地酒として受け継がれてきた。広島県酒造組合の紹介では、創業家の船「於多福丸」と「米を福ととらえる思い」が名の背景とされる。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、純米吟醸、使用米 八反錦、精米歩合 60％の設計で展開されている。,10〜15℃程度の冷酒を起点に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。常温も適温に含まれるため、グラスの中で少し温度を上げて香りと旨味の変化を比べるとよい。
柄酒造,9代目於多福,,A,現行中心シリーズの上位酒,9代目於多福 純米大吟醸 火入れ,純米大吟醸,不明,公開情報で判定材料不足,,40%,15度,冷酒 / 常温,出典記載,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米大吟醸-720ml-1800ml,千本錦,"720ml / 1,800ml","3,080～6,160円",一般流通,公式オンラインショップで販売確認,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米大吟醸-720ml-1800ml,1,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】9代目蔵元・杜氏の柄総一郎が担う現行ラインで、創業銘柄「於多福」の名を継ぎながら、新しい設計の酒を展開するシリーズ。2026年には素数をテーマにした「protos.」や季節酒「つきあかり」などを発売している。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、純米大吟醸、使用米 千本錦、精米歩合 40%の設計で展開されている。,香りを活かすため、10〜15℃程度の冷酒が第一候補。冷やし過ぎずにゆっくり飲み、常温へ近づくにつれて香りと米の旨味が広がる変化を楽しむのがおすすめ。
金光酒造,賀茂金秀,,A,公式通年・「入魂の逸品」,賀茂金秀 特別純米,特別純米,やや辛口,日本酒度からの目安,3.0,50% / 60%,16度,冷酒 / 燗酒（45～50℃）,現行酒販店商品情報,https://reika-sake.com/products/34kmk01201121,赤磐雄町 / 八反錦,"720ml / 1,800ml","1,870～3,388円",一般流通,公式定番ラインナップ掲載 / 二次DBでも存在確認,https://www.kamokin.com/line_up/regular.html,2,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、特別純米、使用米 赤磐雄町 / 八反錦、精米歩合 50% / 60%の設計で展開されている。,冷酒では輪郭をすっきりと、40℃前後のぬる燗から燗酒では米の旨味と酸のふくらみを引き出す飲み方がおすすめ。食事に合わせるなら冷酒と燗の両方を試し、好みの温度帯を探すとよい。
金光酒造,賀茂金秀,,A,公式通年低アルコール系,賀茂金秀 特別純米13,特別純米,中口,日本酒度からの目安,-1.0,50% / 60%,13度,冷酒（5～15℃前後）,現行酒販店商品情報,https://reika-sake.com/products/34kmk01203121,赤磐雄町 / 八反錦,"720ml / 1,800ml","1,925～3,465円",一般流通,日本酒造組合中央会系JSP蔵元ページの代表商品,https://j-s-p.or.jp/kuramoto/kanemitsu,1,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】2026-09-06時点で現行の流通・商品ページに現行品として掲載され、特別純米、使用米 赤磐雄町 / 八反錦、精米歩合 50% / 60%の設計で展開されている。,10〜15℃程度に冷やして、米の旨味と酸のふくらみを引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
金光酒造,賀茂金秀,,A,公式通年辛口ライン,賀茂金秀 辛口特別純米,特別純米,辛口,商品名に辛口表記,8.0,50% / 60%,16度,冷酒（10～15℃前後）,日本酒情報DB,https://www.sakenomy.jp/sake/TST0000010137/,赤磐雄町 / 八反錦,"720ml / 1,800ml","1,870～3,388円",一般流通,公式定番ラインナップ掲載 / 二次DBでも存在確認,https://www.kamokin.com/line_up/regular.html,2,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、特別純米、使用米 赤磐雄町 / 八反錦、精米歩合 50% / 60%の設計で展開されている。,10〜15℃程度に冷やして、米の旨味と酸のふくらみを引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
金光酒造,賀茂金秀,,A,公式通年・食との相性を訴求する代表銘柄,賀茂金秀 純米吟醸 雄町,純米吟醸,やや辛口,日本酒度からの目安,2.0,50%,16度,冷酒（10～15℃前後）,日本酒情報DB,https://www.sakenomy.jp/sake/TST0000007478/,麹米：赤磐雄町 / 掛米：雄町,"720ml / 1,800ml","2,200～3,960円",一般流通,公式定番ラインナップ掲載 / 日本酒造組合中央会系JSP蔵元ページの代表商品 / 二次DBでも存在確認,https://www.kamokin.com/line_up/regular.html,3,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、純米吟醸、使用米 麹米：赤磐雄町 / 掛米：雄町、精米歩合 50%の設計で展開されている。,10〜15℃程度の冷酒を起点に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。
金光酒造,賀茂金秀,,A,公式通年最高級ライン,賀茂金秀 純米大吟醸35,純米大吟醸,中口,日本酒度からの目安,1.0,35%,16度,冷酒（10～15℃前後）,日本酒情報DB,https://www.sakenomy.jp/sake/TST0000041706/,東条産山田錦,"720ml / 1,800ml","6,930～11,000円",一般流通,公式定番ラインナップ掲載 / 日本酒造組合中央会系JSP蔵元ページの代表商品,https://www.kamokin.com/line_up/regular.html,2,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、純米大吟醸、使用米 東条産山田錦、精米歩合 35%の設計で展開されている。,10〜15℃程度の冷酒を起点に、繊細な香りと上品な旨味を活かすのがおすすめ。
金光酒造,賀茂金秀,,A,公式通年純米大吟醸,賀茂金秀 純米大吟醸40,純米大吟醸,中口,日本酒度からの目安,1.0,40%,16度,冷酒（10～15℃前後）,日本酒情報DB,https://www.sakenomy.jp/sake/TST0000007476/,千本錦,"720ml / 1,800ml","3,300～6,160円",一般流通,公式定番ラインナップ掲載 / 二次DBでも存在確認,https://www.kamokin.com/line_up/regular.html,2,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、純米大吟醸、使用米 千本錦、精米歩合 40%の設計で展開されている。,10〜15℃程度の冷酒を起点に、繊細な香りと上品な旨味を活かすのがおすすめ。
金光酒造,賀茂金秀,,C,,賀茂金秀 純米吟醸 愛山,純米吟醸,不明,公開情報で判定材料不足,,55%,16度,要確認,公開情報で要確認,,愛山,"720ml / 1,800ml","2,420～4,565円",季節商品,公式限定商品一覧・発売時期 10月中旬,https://www.kamokin.com/line_up/Limited/limited.html,1,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】酒米・愛山を使う限定純米吟醸として毎年10月中旬から販売される秋季商品。定番の雄町純米吟醸とは異なる酒米の個性を季節限定で表現するラインである。,公開情報で明確な推奨温度を確認できないため酒質からの目安。10〜15℃程度の冷酒を起点に、吟醸香と軽快な旨味のバランスを活かす飲み方がおすすめ。少量ずつ温度を変え、香り・甘味・酸味・キレのバランスが最も整うところを探すとよい。
金光酒造,賀茂金秀,,C,,賀茂金秀 SUITOH,その他,不明,公開情報で判定材料不足,,60%,16度,要確認,公開情報で要確認,,蔵人下川栽培 雄町,"720ml / 1,800ml","2,090～3,740円",季節商品,公式限定商品一覧・発売時期 1月中旬,https://www.kamokin.com/line_up/Limited/limited.html,1,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】蔵人・下川氏が自ら育てた米を使う限定酒として、毎年1月中旬から販売される季節商品。造り手が原料米の栽培にも関わる企画を賀茂金秀の限定ラインとして継続している。,公開情報で明確な推奨温度を確認できないため酒質からの目安。10〜15℃程度の冷酒から常温を起点に、香味のまとまりを引き出す飲み方がおすすめ。少量ずつ温度を変え、香り・甘味・酸味・キレのバランスが最も整うところを探すとよい。
金光酒造,賀茂金秀,,C,,賀茂金秀 麗酸 雄町60,その他,不明,公開情報で判定材料不足,,60%,15度,要確認,公開情報で要確認,,雄町,720ml,"2,035円",季節商品,公式限定商品一覧・発売時期 7月下旬,https://www.kamokin.com/line_up/Limited/limited.html,1,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】雄町を60%まで磨き、リンゴ酸を多く生み出す酵母を使って酸を主役に設計した限定酒。毎年7月下旬から販売される夏後半の季節商品として展開されている。,公開情報で明確な推奨温度を確認できないため酒質からの目安。10〜15℃程度の冷酒から常温を起点に、香味のまとまりを引き出す飲み方がおすすめ。少量ずつ温度を変え、香り・甘味・酸味・キレのバランスが最も整うところを探すとよい。
金光酒造,賀茂金秀,,C,,賀茂金秀 純米しぼりたて生,純米,不明,公開情報で判定材料不足,,60%,16度,要確認,公開情報で要確認,,八反錦,"720ml / 1,800ml","1,843～3,245円",季節商品,公式限定商品一覧・発売時期 11月下旬,https://www.kamokin.com/line_up/Limited/limited.html,1,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】その酒造年度で最初に搾る純米新酒として位置づけられ、毎年11月下旬から販売されるしぼりたて生酒。賀茂金秀の新酒シーズンを告げる限定商品である。,公開情報で明確な推奨温度を確認できないため酒質からの目安。よく冷やした5〜10℃程度の冷酒を起点に、フレッシュさを活かす飲み方がおすすめ。少量ずつ温度を変え、香り・甘味・酸味・キレのバランスが最も整うところを探すとよい。
金光酒造,桜吹雪,,C,,桜吹雪 特別純米うすにごり生,特別純米,不明,公開情報で判定材料不足,,50% / 60%,16度,要確認,公開情報で要確認,,,"720ml / 1,800ml","2,035～3,630円",季節商品,公式限定商品一覧・発売時期 2月中旬,https://www.kamokin.com/line_up/Limited/limited.html,1,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1880年の創業当時から使われた銘柄の一つで、当時の上位酒だった「桜吹雪」を主力ブランドとして育てた。2003年に「賀茂金秀」が始まった後も、季節商品などで銘柄が受け継がれている。 【商品史】創業期から続く「桜吹雪」銘柄を現代の季節酒として受け継ぐ特別純米のうすにごり生。毎年2月中旬から販売される春向け限定商品として展開されている。,公開情報で明確な推奨温度を確認できないため酒質からの目安。よく冷やした5〜10℃程度の冷酒を起点に、発泡感やにごりの口当たりを活かす飲み方がおすすめ。少量ずつ温度を変え、香り・甘味・酸味・キレのバランスが最も整うところを探すとよい。
金光酒造,賀茂金秀,,C,,賀茂金秀 辛口夏純,純米,不明,公開情報で判定材料不足,,60%,15度,要確認,公開情報で要確認,,八反錦,"720ml / 1,800ml","1,870～3,300円",季節商品,公式限定商品一覧・発売時期 5月中旬,https://www.kamokin.com/line_up/Limited/limited.html,1,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】夏向けの辛口純米として季節限定で展開される商品。賀茂金秀の定番辛口系を暑い時期の飲用に合わせた軽快な夏酒として現行ラインに組み込まれている。,公開情報で明確な推奨温度を確認できないため酒質からの目安。よく冷やした5〜10℃程度の冷酒を起点に、米の旨味と酸のふくらみを引き出す飲み方がおすすめ。少量ずつ温度を変え、香り・甘味・酸味・キレのバランスが最も整うところを探すとよい。
金光酒造,賀茂金秀,,C,,賀茂金秀 特別純米 秋あがり,特別純米,不明,公開情報で判定材料不足,,50% / 60%,16度,要確認,公開情報で要確認,,,"720ml / 1,800ml","1,958～3,476円",季節商品,公式限定商品一覧・発売時期 9月上旬,https://www.kamokin.com/line_up/Limited/limited.html,1,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】定番の特別純米をひと夏熟成させた秋季派生商品として展開される「秋あがり」。新酒期の商品とは別に、熟成による丸みを秋に味わう季節ラインである。,公開情報で明確な推奨温度を確認できないため酒質からの目安。常温から40℃前後のぬる燗を起点に、熟成でまとまった旨味を引き出す飲み方がおすすめ。少量ずつ温度を変え、香り・甘味・酸味・キレのバランスが最も整うところを探すとよい。
金光酒造,賀茂金秀,,C,,賀茂金秀 純米 お燗酒,純米,不明,公開情報で判定材料不足,,60% / 65%,15度,要確認,公開情報で要確認,,,"1,800ml","2,948円",季節商品,公式限定商品一覧・発売時期 10月中旬,https://www.kamokin.com/line_up/Limited/limited.html,1,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,【ブランド史】1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。 【商品史】燗酒での飲用を主目的に設計した季節限定の純米酒。冷酒中心の商品とは別に、秋冬の温度帯で旨味を引き出すラインとして賀茂金秀の季節商品群を構成している。,公開情報で明確な推奨温度を確認できないため酒質からの目安。40〜50℃程度の燗酒を起点に、米の旨味と酸のふくらみを引き出す飲み方がおすすめ。少量ずつ温度を変え、香り・甘味・酸味・キレのバランスが最も整うところを探すとよい。
